text,label
My wife just ghosted me??,sadness
I'm about to host a lit party??,optimism
I just want to shoot something at this point??,anger
"Fuck this world man, it's treating me unfair??",anger
I just got a new dog ??,joy
I'm tripping heavy on lsd,joy
I smoked a bunch of weed earlier,joy
My vape just died,sadness
My car just broke down and now I need to waste mymoney on uber,anger
swear im bout to snap,anger
not even music helps anymore,sadness
I wish I was dead rn,sadness
"They said I can't rap about bein' broke no more
They ain't say I can't rap about coke no more (Ah)",anger
"Bitch, I'ma kill you
You don't wanna fuck with me
Girls neither
You ain't nothin' but a slut to me",anger
"You don't wanna fuck with Shady ('Cause why?)
'Cause Shady will fuckin' kill you (Ah, haha)",anger
Started from the bottom now we here,joy
We gon be alright,optimism
"You claim to be a player but I fucked your wife
We bust on Bad Boy niggas fucked for life",anger
"Grab ya Glocks when you see Tupac
Call the cops when you see Tupac, uh
Who shot me? But ya punks didn't finish
Now ya 'bout to feel the wrath of a menace
Nigga, we hit em' up",anger
"Oh yeah, Mobb Deep (take money) you wanna fuck with us?
You little young-ass motherfuckers (take money)
Don't one of you niggas got sickle cell or something? (Take money)
You fucking with me
Nigga, you fuck around and have a seizure or a heart attack (take money)
You better back the fuck up 'fore you get smacked the fuck up",anger
"Stop all that coon shit (Black)
Early morning cartoon shit (Black)
This is that goon shit
Fuck up your whole afternoon shit",anger
"I toss and turn, I keep stressing my mind, mind.
What, what?
I look for peace but see I don't attain.
What, what?
What I need for keeps this silly game we play, play.
Now look at thiswhat, what?madness.
The magnet keeps attracting me, me.
What, what?
I try to run but see I'm not that fast.
What, what?
I think I'm first but surely finish last, last.",sadness
"Cause day and night
The lonely stoner seems to free his mind at night",sadness
"Are you the reason why mama and them leavin'
No you ain't shit, you say you love them, I know you don't mean it
I know you're irresponsible, selfish, in denial, can't help it
Your trials and tribulations a burden, everyone felt it
Everyone heard it, multiple shots, corners cryin' out
You was deserted, where was your antennas again?",anger
"Now I done grew up 'round some people livin' their life in bottles
Granddaddy had the golden flask
Backstroke every day in Chicago
Some people like the way it feels
Some people wanna kill their sorrows
Some people wanna fit in with the popular, that was my problem",sadness
"Hey, hey, hey, hey
Don't say you will
Unless you will
Hey, hey, hey, hey
Don't say you will
Then play you will
I pray you will",sadness
My friend showed me pictures of his kids / And all I could show him was pictures of my cribs,sadness
"I came, I saw, I came, I saw / I praise the Lord, then break the law",joy
How many times did she leave? A lot / How many times did I cry? A lot / How many times did she lie? A lot / How many niggas done died? A lot,sadness
"I got me a check, I got a check",joy
"Yeah, I'm out that Brooklyn, now I'm down in Tribeca
Right next to De Niro, but I'll be hood forever
I'm the new Sinatra, and since I made it here",joy
She fill my mind up with ideas / I'm the highest in the room,joy
"Baby girl, come and meet the woo / She know we came in with the zoo",joy
"I had a dream I could buy my way to heaven / When I awoke, I spent that on a necklace",joy
I got a new chick that I gotta thank God for / I got a new whip that I gotta thank the lot for,joy
"Money got longer, speaker got louder, car got faster",joy
"I got one, two, three, four, five, six, seven, eight M's in my bank account""",joy
"You only live once, thats the motto, nigga, YOLO",joy
"Nigga, we gon' be alright",optimism
Did you realize that you were a champion in their eyes?,optimism
"You gotta keep your head up, ooh child, things are gonna get easier",optimism
"I'm workin' on me, they ain't proud of me, but Im proud of me",optimism
"I'm prolific, so gifted / I'm the type that's gon' go get it, no kiddin",optimism
I used to dream of a whip with the navigation / Now Im in that mothafucka and its levitatin,optimism
"This a Rollie, not a stopwatch, shit don't ever stop",optimism
"You ain't got the answers, Sway! / I go Kanye crazy!",optimism
"I just wanna make it out the hood, I been grindin' for a minute",optimism
"No one man should have all that power / The clock's tickin', I just count the hours",optimism
Im with the mob and we on the way up,optimism
"I got hustle though, ambition flow, inside my DNA",optimism
"Baby, welcome to the party / I'm off the molly, the Xan, the lean",optimism
